idiom_word_count,literal_word_count,idiom_phrase,literal_phrase,figurative_meaning,literal_meaning
3,3,kick the bucket,kick the ball,to die,hit the sphere with your foot
3,3,read the room,read the book,understand a situation,parse the pages
3,3,break the ice,break the glass,start a conversation,shatter the window
3,3,spill the beans,spill the water,reveal a secret,pour out the liquid
3,3,bite the bullet,bite the apple,face something difficult,chew the fruit
3,3,hit the hay,hit the ball,go to sleep,strike the sphere
3,3,cut the mustard,cut the paper,meet expectations,slice the document
3,3,jump the shark,jump the fence,decline in quality,leap over the barrier
3,3,rock the boat,rock the chair,cause trouble,shake the seat
3,3,face the music,face the mirror,accept consequences,confront the reflection
3,3,toe the line,toe the water,follow rules,test the depth
3,3,miss the boat,miss the train,lose an opportunity,fail to catch the ride
3,3,pass the buck,pass the book,shift responsibility,hand over the novel
3,3,break a leg,break a stick,good luck,snap the twig
3,3,hit the road,hit the drum,leave,strike the instrument
3,3,get the sack,get the bag,be fired from a job,receive the container
3,3,fit the bill,fit the shirt,be suitable,wear the garment
3,3,clear the air,clear the table,resolve tension,wipe the surface
3,3,ring a bell,ring the alarm,sound familiar,sound the siren
3,3,push the envelope,push the button,exceed the limits,press the switch
3,3,pop the question,pop the balloon,propose marriage,burst the inflatable
3,3,lose your touch,lose your phone,lose a skill,misplace the device
3,3,call the shots,call the dogs,be in charge,summon the canines
3,3,drop the ball,drop the pen,make a mistake,release the writing tool
3,3,under the weather,under the umbrella,feeling ill,beneath the rain shield
3,3,the last straw,the first straw,the final tolerable act,the initial reed
3,3,play devil's advocate,play a role,argue an opposing view,act a part
3,3,pull someone's leg,pull someone's hair,joke or tease someone,tug on the tresses
3,3,spill the tea,spill the soup,share gossip,pour out the broth
3,3,hit the books,hit the pillow,study,strike the cushion
3,3,break the bank,break the jar,be too expensive,shatter the container
3,3,on thin ice,on wet grass,in a risky position,standing on damp turf
3,3,hit the sack,hit the drum,go to sleep,strike the instrument
3,3,break the news,break the paper,share bad news,tear the sheet
3,3,blow off steam,blow off dust,release frustration,blow away the particles
3,3,hold your horses,hold your hat,wait,grip the cap
3,3,hit the ceiling,hit the roof,become very angry,strike the top
3,3,in hot water,in cold water,in trouble,in chilly water
3,3,raise the bar,raise the gate,set higher standards,lift the barrier
3,3,break the silence,break the branch,start talking,snap the limb
3,3,hit the spot,hit the target,satisfy perfectly,strike the target
3,3,steal the show,steal the bike,get all the attention,take the bicycle
3,3,on the fence,on the bench,undecided,sitting on the bench
3,3,spill your guts,spill your juice,reveal everything,pour out the drink
3,3,hold your tongue,hold your spoon,stay silent,grip the utensil
3,3,jump the gun,jump the hurdle,start too early,leap over the barrier
3,3,cut the cord,cut the rope,end a dependence,slice the rope
3,3,walk on eggshells,walk on tiles,act very carefully,step across tiled flooring
3,3,on cloud nine,on cloud three,very happy,on the third cloud
3,3,beyond the pale,beyond the fence,unacceptable,past the fence
3,3,a hot potato,a hot stove,controversial issue,heated appliance
3,3,bed of roses,bed of flowers,easy situation,floral resting place
3,3,bite the dust,bite the bread,die,chew baked loaf
3,3,blow your mind,blow your nose,astonish you,expel mucus
3,3,break the mold,break the plate,be original,shatter ceramic dish
3,3,bury the hatchet,bury the box,make peace,cover a container with soil
3,3,call your bluff,call your number,challenge deception,dial the digits
3,3,chew the fat,chew the meat,chat casually,masticate cooked flesh
3,3,cook the books,cook the pasta,falsify accounts,prepare the noodles
3,3,cool your jets,cool your soup,calm down,lower broth temperature
3,3,cross the line,cross the street,behave unacceptably,walk across the road
3,3,cut a rug,cut a cloth,dance,slice fabric
3,3,dodge a bullet,dodge a ball,avoid danger,evade the projectile
3,3,draw the line,draw a circle,set a boundary,sketch a round shape
3,3,eat your words,eat your lunch,retract a statement,consume your meal
3,3,find your feet,find your shoes,become confident,locate your footwear
3,3,get a grip,get a cup,control yourself,obtain a vessel
3,3,get cold feet,get cold hands,lose courage,have chilly fingers
3,3,get your goat,get your coat,irritate you,retrieve a jacket
3,3,grasp the nettle,grasp the handle,confront difficulty,hold the lever
3,3,hang your head,hang your coat,feel ashamed,suspend your garment
3,3,have a blast,have a sandwich,enjoy greatly,possess a meal
3,3,keep your cool,keep your receipt,stay calm,retain the document
3,3,kick the habit,kick the door,stop an addiction,strike an entrance panel
3,3,learn the ropes,learn the alphabet,become familiar,study the letters
3,3,lift a finger,lift a box,make an effort,raise the container
3,3,lose your cool,lose your keys,become angry,misplace metal openers
3,3,make a killing,make a painting,profit greatly,create artwork
3,3,make a scene,make a cake,cause a disturbance,bake a dessert
3,3,my two cents,my two coins,personal opinion,a pair of tokens belonging to me
3,3,off the hook,off the shelf,free from obligation,removed from storage
3,3,on the ball,on the chair,alert and competent,atop furniture
3,3,open the floodgates,open the door,allow many things,unseal an entrance
3,3,pass the baton,pass the salt,transfer responsibility,hand over seasoning
3,3,pass the torch,pass the cup,transfer responsibility,hand over a vessel
3,3,pay the piper,pay the cashier,face consequences,give money to clerk
3,3,piece of cake,piece of bread,easy task,portion of baked loaf
3,3,play with fire,play with toys,take risks,use objects for amusement
3,3,pull some strings,pull some ropes,use influence,tug cords
3,3,pull your weight,pull your cart,do your share,drag a wagon
3,3,push your luck,push your cart,take excessive risks,shove a wagon
3,3,raise some eyebrows,raise your hand,cause surprise,lift an arm
3,3,ride the wave,ride the horse,benefit from a trend,travel mounted on an animal
3,3,roll the dice,roll the ball,take a chance,move the sphere
3,3,run the show,run the race,be in control,compete in contest
3,3,save your skin,save your money,avoid harm,preserve your funds
3,3,shoot the breeze,shoot the target,chat casually,fire at a mark
3,3,smell a rat,smell a flower,suspect deception,sniff a blossom
3,3,spin your wheels,spin your chair,waste effort,rotate a seat
3,3,take the cake,take the plate,be most remarkable,grab a dish
3,3,take the plunge,take the train,commit to action,board rail transport
3,3,tighten your belt,tighten your shoes,reduce spending,fasten your footwear
3,3,tip the scales,tip the glass,decide the outcome,tilt a vessel
3,3,turn the corner,turn the handle,begin improving,rotate the lever
3,3,turn the tables,turn the page,reverse the situation,flip a sheet
3,3,under your thumb,under your desk,under your control,beneath a worktable
3,3,wear the pants,wear the coat,be in charge,put on a garment
3,3,a bad apple,a bruised apple,a troublesome person,a damaged piece of fruit
3,3,a damp squib,a wet firework,an anticlimactic event,a soaked small firework
3,3,a dog's breakfast,a dog's meal,a messy situation,food for a dog
3,3,a lame duck,a limping duck,an ineffective person or thing,a duck that limps
3,3,a loose cannon,a loose wheel,an unpredictable risky person,an unsecured wheel
3,3,a mixed bag,a mixed salad,a varied set,a salad with mixed ingredients
3,3,a pretty penny,a shiny penny,a large amount of money,an attractive small coin
3,3,a red herring,a red fish,a misleading clue,a fish colored red
3,3,a rough diamond,a rough stone,a good person with unpolished manners,an uncut gemstone
3,3,a sacred cow,a sacred statue,an idea protected from criticism,a revered farm animal
3,3,a sitting duck,a sitting bird,an easy target,a bird that is seated
3,3,a sticky wicket,a sticky gate,a difficult situation,a gate covered with adhesive
3,3,a tall order,a tall ladder,a difficult demand,a ladder of great height
3,3,a wet blanket,a wet towel,a person who spoils fun,a towel soaked with water
3,3,back seat driver,back seat passenger,someone giving unwanted advice,a passenger sitting behind
3,3,bad hair day,messy hair morning,a day when everything goes wrong,a morning with untidy hair
3,3,bag and baggage,bag and suitcase,with everything owned,a bag and suitcase
3,3,ball and chain,ball and rope,a burdensome restraint,a ball attached to rope
3,3,barrel of laughs,barrel of apples,a very amusing person,a barrel filled with apples
3,3,blessing in disguise,gift in wrapping,a hidden benefit,a gift hidden by wrapping
3,3,bone of contention,bone of chicken,the cause of disagreement,a chicken bone
3,3,bread and butter,bread and cheese,basic income or essentials,bread served with cheese
3,3,business as usual,business as registered,normal routine continuing,a company operating normally
3,3,can of worms,can of peaches,a complicated problem,a can containing peaches
3,3,cherry on top,cherry on cake,a pleasing extra,a cherry placed on cake
3,3,chicken and egg,chicken and rooster,a circular cause problem,a hen and a rooster
3,3,cloak and dagger,cloak and sword,secretive intrigue,a cloak and weapon
3,3,cloud cuckoo land,cloud bird island,an unrealistic fantasy world,a cloudy island with birds
3,3,common or garden,common garden flower,ordinary and unremarkable,a typical garden flower
3,3,crack of dawn,crack of plate,very early morning,a crack in a plate
3,3,cut and dried,cut and folded,settled and predictable,sliced and dried material
3,3,done and dusted,done and cleaned,finished completely,completed and made clean
3,3,doom and gloom,doom and darkness,pessimism and despair,ruin plus darkness
3,3,double edged sword,double bladed knife,something with benefits and drawbacks,a knife with two edges
3,3,down and out,down and sideways,destitute or defeated,lower and to the side
3,3,easy does it,easy moves slowly,proceed carefully,gentle movement happens slowly
3,3,fair weather friend,fair weather sailor,an unreliable friend,a sailor in pleasant weather
3,3,famous last words,famous final speech,a prediction likely to fail,well-known final spoken words
3,3,feast or famine,feast or snack,extreme abundance or scarcity,a large meal or snack
3,3,a fighting chance,a boxing match,a realistic possibility,a boxing match
3,3,food for thought,food for guests,something worth considering,food intended for guests
3,3,for the birds,for the sparrows,worthless or trivial,intended for sparrows
3,3,full of beans,full of rice,energetic and lively,filled with grains of rice
3,3,gift of gab,gift of flowers,skillful fluent speech,a present of flowers
3,3,good old days,good sunny days,a nostalgic past period,pleasant days with sunshine
3,3,goody two shoes,shiny two shoes,an ostentatiously virtuous person,two polished shoes
3,3,green with envy,green with paint,very jealous,covered with green paint
3,3,hand in glove,hand in mitten,working very closely,a hand inside a mitten
3,3,hand over fist,hand over rail,very rapidly,a hand above a railing
3,3,hands are tied,hands are dirty,unable to act freely,hands bound by rope
3,3,hard and fast,hard and smooth,strict and fixed,solid and smooth
3,3,hard to swallow,hard to chew,difficult to accept,difficult to chew
3,3,head over heels,head over pillow,completely in love,a head above a pillow
3,3,heads or tails,heads or bodies,two possible outcomes,heads or animal tails
3,3,hit or miss,hit or catch,inconsistent or unreliable,strike or catch something
3,3,house of cards,house of bricks,a fragile arrangement,a building made from bricks
3,3,labour of love,labor of cleaning,work done from devotion,work spent on cleaning
3,3,lap of luxury,lap of cloth,great comfort and wealth,a fold of cloth
3,3,leaps and bounds,leaps and jumps,rapid progress,jumps and bounding movements
3,3,less is more,less becomes more,simplicity is better,a smaller quantity becomes larger
3,3,look who's talking,look who entered,said to call out hypocrisy,see who came in
3,3,lost for words,lost for directions,unable to speak,unable to find directions
3,3,low hanging fruit,low hanging branch,easy opportunities,fruit hanging near ground
3,3,many moons ago,many stars ago,a long time ago,many lunar cycles earlier
3,3,mind over matter,mind over body,willpower overcoming difficulty,a mind above a body
3,3,money for jam,money for bread,easy money,payment made for jam
3,3,more fool you,more food please,you acted foolishly,asking for extra food
3,3,movers and shakers,movers and packers,influential people,people moving and packing
3,3,mum's the word,mom's the speaker,keep it secret,mother is the speaker
3,3,neck and neck,neck and shoulders,very close in competition,neck beside shoulders
3,3,needless to say,needless to print,obviously,unnecessary to print
3,3,next to nothing,next to doorway,almost nothing,beside a doorway
3,3,nip and tuck,nip and pinch,a very close contest,a small cut and fold
3,3,no hard feelings,no hard stones,no resentment,no stones that are hard
3,3,no holds barred,no doors barred,no restrictions,no doors blocked
3,3,no laughing matter,no laughing child,a serious issue,no child is laughing
3,3,no love lost,no coin lost,mutual dislike,no coin has disappeared
3,3,no man's land,no man's chair,unclaimed or disputed territory,a chair belonging to nobody
3,3,no strings attached,no strings tied,without conditions,no strings are tied
3,3,none the wiser,none the taller,not better informed,no one became taller
3,3,not born yesterday,not born today,not naive,not born on this date
3,3,not half bad,not half cooked,fairly good,not partly cooked
3,3,odds and ends,odds and numbers,miscellaneous items,odd and even numbers
3,3,of two minds,of two colors,undecided,having two colors
3,3,old wives' tale,old wives' story,a false traditional belief,a story told by older wives
3,3,one fell swoop,one bird swoop,a single decisive action,one bird diving downward
3,3,one horse town,one horse stable,a very small dull town,a stable holding one horse
3,3,one trick pony,one trained pony,someone with only one skill,a pony taught one trick
3,3,out and about,out and walking,active outside socially,outside and walking around
3,3,out at elbows,out at corners,shabby or poor,outside at the corners
3,3,over and above,over and beyond,in addition to,above and beyond a point
3,3,part and parcel,part and package,an essential component,a part and package
3,3,pearls before swine,pearls before pigs,valuable things wasted on the unappreciative,pearls placed in front of pigs
3,3,piece of work,piece of wood,a difficult or unpleasant person,a piece made of wood
3,3,pins and needles,pins and buttons,tingling or anxious anticipation,sharp pins and buttons
3,3,plain as day,plain as paper,obvious,as plain as paper
3,3,pleased as punch,pleased as guests,very pleased,guests who are pleased
3,3,rank and file,rank and number,ordinary members,rank listed with number
3,3,red letter day,red paper day,a special memorable day,a day marked on red paper
3,3,right as rain,right as measured,perfectly healthy or correct,correct as measured
3,3,rhyme or reason,rhyme or rhythm,logical explanation,rhyme or rhythmic pattern
3,3,rough and ready,rough and worn,basic but usable,coarse and worn
3,3,same old story,same old song,a familiar recurring problem,the same song as before
3,3,second to none,second to last,the best,the position before last
3,3,short and sweet,short and narrow,brief and pleasant,short and narrow
3,3,skin and bones,skin and muscles,extremely thin,skin covering bones
3,3,slice of life,slice of bread,a realistic everyday example,a piece of bread
3,3,slow and steady,slow and careful,patiently consistent,moving slowly and carefully
3,3,smoke and mirrors,smoke and dust,deceptive presentation,smoke mixed with dust
3,3,song and dance,song and chorus,an elaborate fuss,a song and dance performance
3,3,spit and polish,spit and shine,meticulous cleaning or formality,saliva and shoe shine
3,3,straight and narrow,straight and level,morally proper behavior,straight and level
3,3,sweetness and light,sweetness and color,pleasantness and reasonableness,sweet taste and brightness
3,3,the bee's knees,the bee's legs,something excellent,the legs of a bee
3,3,the big picture,the big painting,the overall situation,a large painting
3,3,the cold shoulder,the cold plate,deliberate unfriendliness,a chilled dinner plate
3,3,the cutting edge,the cutting blade,the most advanced position,the sharp part of a blade
3,3,the eleventh hour,the eleventh bell,the last possible moment,the eleventh hour of a day
3,3,the full monty,the full basket,everything possible,a basket completely full
3,3,the heavy lifting,the heavy box,the hardest work,a box that is heavy
3,3,the holy grail,the holy cup,a highly sought goal,a sacred cup
3,3,the last word,the last page,the final authority or best example,the final page
3,3,the real McCoy,the real painting,the genuine article,an authentic painting
3,3,the whole shebang,the whole package,everything involved,an entire package
3,3,thick as thieves,thick as walls,very close or secretive,as thick as walls
3,3,third time lucky,third time counted,success on the third attempt,the third occasion counted
3,3,through the grapevine,through the vineyard,by rumor or informal channels,through vines in a vineyard
3,3,tit for tat,tap for tap,equivalent retaliation,one tap for another
3,3,tongue in cheek,tongue in mouth,said ironically,a tongue inside a mouth
3,3,tough as nails,tough as leather,very tough,as hard as leather
3,3,trial and error,trial and hearing,learning by attempts,a legal trial and hearing
3,3,trial by fire,trial by jury,a severe first test,a trial conducted by jury
3,3,tried and true,tried and tested,reliable from experience,tested and proven
3,3,two left feet,two left shoes,clumsiness in dancing,two shoes for left feet
3,3,under a cloud,under a roof,under suspicion or disfavor,below a roof
3,3,under false pretenses,under false labels,deceptively,below incorrect labels
3,3,under one's belt,under one's coat,safely achieved or experienced,beneath someone's coat
3,3,under someone's nose,under someone's table,in plain sight,beneath another person's table
3,3,up and about,up and walking,active after illness,upright and walking
3,3,up and coming,up and climbing,promising and rising,moving upward while climbing
3,3,up and running,up and spinning,operating successfully,upright and spinning
3,3,up for grabs,up for storage,available to anyone,raised for storage
3,3,up in arms,up in trees,angrily protesting,above among tree branches
3,3,warts and all,warts and scars,including every flaw,warts plus scars
3,3,way to go,way to school,an expression of approval,route leading to school
3,3,well and truly,well and safely,completely,healthy and safe
3,3,when pigs fly,when birds fly,never,at the time birds fly
3,3,wild and woolly,wild and furry,uncontrolled or rough,untamed and furry
3,3,wild goose chase,wild goose flight,a futile pursuit,the flight of a wild goose
3,3,winner takes all,winner takes trophy,the winner receives everything,the winner takes a trophy
3,3,with bells on,with shoes on,enthusiastically and gladly,wearing shoes
3,3,within an ace,within an inch,very nearly,inside an inch
3,3,word for word,word for line,exactly verbatim,one word per line
3,3,worse for wear,worse for damage,tired or damaged,made worse by damage
3,3,yellow brick road,yellow brick path,a route to success or dreams,a path made of yellow bricks
3,3,against the clock,against the wall,racing against time,positioned against a wall
3,3,against the grain,against the board,contrary to preference or convention,opposite the wood grain
3,3,alive and kicking,alive and breathing,active and healthy,living and breathing
3,3,all at sea,all at lunch,confused and disoriented,everyone at lunch
3,3,all bets off,all bets placed,normal expectations canceled,all wagers have been placed
3,3,all in all,all in boxes,overall,everything inside boxes
3,3,all over again,all over paint,once more from the start,paint covering everything
3,3,all systems go,all engines started,everything ready,all engines have started
3,3,all the rage,all the anger,very fashionable,all the anger
3,3,ask for trouble,ask for directions,invite problems,request directions
3,3,at a crossroads,at a junction,facing an important choice,standing at a road junction
3,3,at death's door,at death's gate,near death,beside the entrance of death
3,3,at face value,at face height,as it appears,at the height of a face
3,3,at full throttle,at full speed,with maximum effort,at maximum engine speed
3,3,at loose ends,at loose threads,unoccupied or unsettled,near threads that are loose
3,3,at the helm,at the wheel,in control,standing at the wheel
3,3,at the ready,at the counter,prepared for use,waiting at the counter
3,3,at your fingertips,at your desk,readily available,located at your desk
3,3,away with fairies,away with luggage,absentminded or unrealistic,gone with luggage
3,3,back to basics,back to school,returning to fundamentals,returning to school
3,3,baptism by fire,baptism by water,a difficult first experience,a baptism using water
3,3,bare your soul,bare your arm,reveal deepest feelings,uncover your arm
3,3,battle of wills,battle of armies,a contest of determination,a fight between armies
3,3,be my guest,be my driver,feel free,serve as my driver
3,3,bear the brunt,bear the load,endure the worst impact,carry the load
3,3,beat a retreat,beat a drum,withdraw quickly,strike a drum
3,3,beat the bushes,beat the carpet,search thoroughly,strike the carpet repeatedly
3,3,beat the drum,beat the cymbal,promote something loudly,strike the cymbal
3,3,beat the rap,beat the timer,avoid punishment,finish before the timer
3,3,behind closed doors,behind wooden doors,in private,standing behind doors
3,3,behind the scenes,behind the curtains,out of public view,behind stage curtains
3,3,below the belt,below the waist,unfair or cruel,lower than the waist
3,3,bend over backwards,bend over chairs,make great efforts,bend across chairs
3,3,bend the rules,bend the wire,relax rules unfairly,curve the wire
3,3,between the lines,between the ropes,implied rather than stated,space between ropes
3,3,between two stools,between two chairs,failing between alternatives,positioned between two chairs
3,3,bide your time,bide your turn,wait patiently,wait for your turn
3,3,bite your lip,bite your sandwich,avoid speaking,chew your sandwich
3,3,bite your tongue,bite your peach,stop yourself speaking,chew your peach
3,3,black and blue,black and white,bruised,two colors
3,3,black and white,black and green,clear and definite,two colors
3,3,blaze a trail,blaze a fire,pioneer a path,start a fire
3,3,bleed someone dry,bleed someone slowly,drain someone of resources,make someone lose blood
3,3,blow a fuse,blow a horn,lose your temper,sound a horn
3,3,blow a gasket,blow a whistle,become very angry,force air through a whistle
3,3,blow the whistle,blow the flute,expose wrongdoing,play the flute by blowing
3,3,boil the ocean,boil the kettle,attempt the impossible,heat the kettle
3,3,break new ground,break hard ground,do something innovative,crack hard soil
3,3,break the chain,break the necklace,interrupt a cycle,snap the necklace
3,3,break the spell,break the wand,end an enchantment or mood,snap the wand
3,3,bring to heel,bring to table,force obedience,carry something to a table
3,3,burn your bridges,burn your letters,destroy future options,set your letters on fire
3,3,burn your fingers,burn your toast,suffer from risky involvement,overcook your toast
3,3,butter wouldn't melt,butter wouldn't spread,seem falsely innocent,butter could not spread
3,3,buy the farm,buy the house,die,purchase the house
3,3,by and large,by and beside,generally speaking,near and beside
3,3,by the wayside,by the highway,abandoned or neglected,beside the highway
3,3,call it quits,call it dinner,stop doing something,name it dinner
3,3,call the tune,call the station,control decisions,phone the station
3,3,carry a torch,carry a lantern,remain romantically devoted,hold a lantern
3,3,carry the can,carry the bucket,take blame or responsibility,hold the bucket
3,3,catch some rays,catch some fish,sunbathe,capture several fish
3,3,catch your breath,catch your hat,pause after exertion,grab your hat
3,3,catch your death,catch your ball,become very ill from cold,catch a ball
3,3,catch your drift,catch your scarf,understand your meaning,grab your scarf
3,3,catch your eye,catch your glove,attract your attention,grab your glove
3,3,change your tune,change your shirt,change your opinion or behavior,put on another shirt
3,3,chase your tail,chase your dog,work busily without progress,pursue your dog
3,3,clean your clock,clean your window,defeat someone soundly,wash your window
3,3,clear as mud,clear as glass,very unclear,transparent like glass
3,3,climb the ladder,climb the stairs,advance in status,ascend the stairs
3,3,climb the walls,climb the cliff,feel frantic or trapped,scale the cliff
3,3,clip someone's wings,clip someone's hair,limit someone's freedom,trim someone's hair
3,3,close the book,close the lid,end a matter,shut the lid
3,3,clutch at straws,clutch at handles,grasp weak hopes,grab the handles
3,3,come a cropper,come a visitor,fail badly,arrive as a visitor
3,3,come full circle,come full speed,return to the starting point,arrive at full speed
3,3,come of age,come of winter,become mature,arrive during winter
3,3,come to blows,come to dinner,begin fighting,arrive for dinner
3,3,come to grips,come to school,begin dealing effectively,arrive at school
3,3,come to terms,come to class,accept a situation,arrive at class
3,3,cost the earth,cost the price,be very expensive,have a stated price
3,3,count your blessings,count your coins,appreciate good things,count the coins you own
3,3,cover your tracks,cover your footprints,hide evidence,place cover over footprints
3,3,crack the whip,crack the shell,enforce discipline,break the shell
3,3,crash and burn,crash and fall,fail spectacularly,collide and catch fire
3,3,cradle to grave,cradle to bed,through an entire life,from cradle to bed
3,3,cross my heart,cross my arms,promise sincerely,fold my arms across
3,3,cross your fingers,cross your legs,hope for luck,place legs across each other
3,3,cut both ways,cut both ropes,have two opposite effects,slice both ropes
3,3,cut no ice,cut no bread,have no influence,slice no bread
3,3,cut some slack,cut some fabric,be less critical,slice some fabric
3,3,cut your losses,cut your nails,stop before losing more,trim your nails
3,3,cut your teeth,cut your steak,gain early experience,slice your steak
3,3,do a number,do a puzzle,harm or trick someone,complete a puzzle
3,3,do the trick,do the chore,solve the problem,perform the chore
